Date,BETA0,BETA1,BETA2,BETA3,TAU1,TAU2
1982-12-09,24.9999999999229,-16.9524942076685,-630.100799142724,608.426601115302,6.7311963766248,6.51186311015251
1982-12-10,24.9999998761744,-16.9400514560342,-630.005574339709,608.519967443617,6.70168465162975,6.48300508098932
1982-12-13,24.999999684798,-16.8672176161576,-630.136529128695,608.391464211335,6.70707132476616,6.4924570503579
1982-12-14,24.9999999999994,-16.9512282431266,-630.041985379024,608.484229559387,7.51266351876032,7.28412638688471
1982-12-15,24.999999829624,-17.0770446554789,-629.902490888123,608.621678857605,7.24142597914763,7.01723878780743
1982-12-16,24.9999999999982,-17.0219785633235,-629.81703912383,608.705581548976,7.39443606809402,7.16483319383292
1982-12-17,24.9999979516408,-17.0103105537455,-629.806633784275,608.715786203,7.20775104747504,6.98601381567523
1982-12-20,24.9999999999945,-16.9409719258644,-629.806258476593,608.716174810723,7.21658353403361,6.99452444394606
1982-12-21,24.9999999999858,-17.0334845492083,-630.086659854079,608.440962547392,7.10632411003157,6.88073431267866
1982-12-22,25,-17.0744333123889,-630.004077337058,608.522077745166,7.25594711691073,7.024583193614
1982-12-23,24.9999999999809,-17.1312130629524,-630.076097079326,608.451404994102,6.93658817348339,6.71314958187711
1982-12-24,NA,NA,NA,NA,NA,NA
1982-12-27,24.9999999999999,-17.1712230510647,-630.108340705296,608.419811445535,6.91846835346621,6.6940098269271
1982-12-28,24.9999999991933,-17.0970653021962,-630.164530515086,608.364662676141,6.91676859062172,6.6966646737313
1982-12-29,24.9999999998618,-16.9536050948359,-630.105953043972,608.422116056575,7.75262565246842,7.51091639102444
1982-12-30,24.9999999999982,-16.862052243011,-630.145139435412,608.383636432468,7.99760233552649,7.75384920837508
1982-12-31,24.9999944867799,-16.9764289226541,-630.129074797945,608.399650704899,7.66951227201078,7.4333307736572
1983-01-03,24.999990015512,-17.0440681081069,-630.184767341455,608.344787223501,7.59488448944119,7.36069581398836
1983-01-04,24.9999999999999,-17.054621067513,-630.100494978927,608.427567217779,7.59458769974643,7.3583226606746
1983-01-05,24.9999987893598,-17.078474937969,-630.10462786669,608.423510387077,7.44206302562636,7.21176107042574
